@relation UCAB

@attribute x numeric
@attribute y numeric
@attribute z numeric
@attribute clase {Pasillo,L1207,L1208,L1209,L1210,L1211,L1212,L1213}

@data
-19.602584838867188,-5.809500217437744,-10.182500839233398,?
-19.515085220336914,-5.797000408172607,-10.232501029968262,?
-19.452669143676758,-5.9095001220703125,-10.307499885559082,?
-19.47766876220703,-5.947000026702881,-10.320000648498535,?
-19.727584838867188,-6.072000026702881,-10.407500267028809,?
-19.840002059936523,-6.2845001220703125,-10.494999885559082,?
-19.952417373657227,-6.3470001220703125,-10.457500457763672,?
-20.03983497619629,-6.3470001220703125,-10.494999885559082,?
-20.16483497619629,-6.359500408172607,-10.470000267028809,?
-19.977333068847656,-6.297000408172607,-10.457500457763672,?
-19.86491584777832,-6.2845001220703125,-10.432499885559082,?
-19.752500534057617,-6.259500026702881,-10.482501029968262,?
-19.752500534057617,-6.2220001220703125,-10.457500457763672,?
-19.71500015258789,-6.2845001220703125,-10.482501029968262,?
-19.852500915527344,-6.2845001220703125,-10.520001411437988,?
-19.852500915527344,-6.2220001220703125,-10.495000839233398,?
-19.802499771118164,-6.297000408172607,-10.507500648498535,?
-19.69000244140625,-6.2845001220703125,-10.470000267028809,?
-19.590002059936523,-6.259500026702881,-10.507500648498535,?
-19.45250129699707,-6.197000026702881,-10.470000267028809,?
-19.415000915527344,-6.171999454498291,-10.494999885559082,?
-19.45250129699707,-6.109499454498291,-10.482501029968262,?
-19.652502059936523,-6.109499454498291,-10.545001029968262,?
-19.57750129699707,-6.121999740600586,-10.532501220703125,?
-19.57750129699707,-6.109500408172607,-10.545001029968262,?
-19.665000915527344,-6.122000217437744,-10.507500648498535,?
-19.540000915527344,-6.059500217437744,-10.482501029968262,?
-19.527502059936523,-6.084499835968018,-10.457500457763672,?
-19.590002059936523,-6.0345001220703125,-10.420001029968262,?
-19.727500915527344,-6.134500503540039,-10.457500457763672,?
-19.677501678466797,-6.184500217437744,-10.482501029968262,?
-19.915002822875977,-6.359500408172607,-10.495000839233398,?
-19.952503204345703,-6.372000217437744,-10.507500648498535,?
-20.002418518066406,-6.422000408172607,-10.532500267028809,?
-20.05241584777832,-6.459499835968018,-10.532500267028809,?
-19.9774169921875,-6.359500408172607,-10.519999504089355,?
-19.92741584777832,-6.296999454498291,-10.507499694824219,?
-19.877418518066406,-6.2220001220703125,-10.470000267028809,?
-19.840002059936523,-6.184500217437744,-10.432499885559082,?
-19.740001678466797,-6.234416961669922,-10.382500648498535,?
-19.815000534057617,-6.371833801269531,-10.407500267028809,?
-19.75258445739746,-6.471834182739258,-10.382500648498535,?
-19.865083694458008,-6.521833419799805,-10.407500267028809,?
-19.67766761779785,-6.50933313369751,-10.420001029968262,?
-19.7901668548584,-6.39691686630249,-10.420001029968262,?
-19.80266761779785,-6.3470001220703125,-10.395001411437988,?
-19.8400821685791,-6.322000026702881,-10.420001029968262,?
-19.75258445739746,-6.297000408172607,-10.407501220703125,?
-19.75250244140625,-6.322000026702881,-10.407500267028809,?
-19.727500915527344,-6.397000789642334,-10.357501029968262,?
-19.70250129699707,-6.359500408172607,-10.295001029968262,?
-19.777502059936523,-6.384500026702881,-10.320000648498535,?
-19.62758445739746,-6.372000217437744,-10.332500457763672,?
-19.677583694458008,-6.359500885009766,-10.320000648498535,?
-19.690082550048828,-6.309500217437744,-10.282501220703125,?
-19.627582550048828,-6.234500408172607,-10.257500648498535,?
-19.565082550048828,-6.122000217437744,-10.170001029968262,?
-19.727582931518555,-6.084500789642334,-10.132500648498535,?
-19.740083694458008,-6.134500503540039,-10.120000839233398,?
-19.677583694458008,-6.059500217437744,-10.182500839233398,?
-19.57758331298828,-6.097000598907471,-10.182500839233398,?
-19.677499771118164,-6.122000217437744,-10.232500076293945,?
-19.527502059936523,-6.059500217437744,-10.132500648498535,?
-19.57750129699707,-6.021999835968018,-10.057499885559082,?
-19.61500358581543,-6.0345001220703125,-10.082500457763672,?
-19.727502822875977,-6.072000026702881,-10.070000648498535,?
-19.615001678466797,-6.021999835968018,-10.070000648498535,?
-19.489999771118164,-6.084499835968018,-10.195000648498535,?
-19.45258331298828,-6.084499835968018,-10.245001792907715,?
-19.415084838867188,-6.147000789642334,-10.245001792907715,?
-19.39008331298828,-6.172000408172607,-10.295001029968262,?
-19.39008331298828,-6.2220001220703125,-10.244999885559082,?
-19.3526668548584,-6.221999645233154,-10.332500457763672,?
-19.415084838867188,-6.284499645233154,-10.382500648498535,?
-19.302583694458008,-6.221999645233154,-10.369999885559082,?
-19.215166091918945,-6.134500026702881,-10.345000267028809,?
-19.21525001525879,-6.072000503540039,-10.444999694824219,?
-19.302751541137695,-6.047000885009766,-10.395000457763672,?
-19.57775115966797,-6.134500503540039,-10.420001029968262,?
-19.902667999267578,-6.222000598907471,-10.370001792907715,?
-20.427417755126953,-6.3470001220703125,-10.295001029968262,?
-20.627334594726562,-6.4095001220703125,-10.307501792907715,?
-20.502334594726562,-6.359500408172607,-10.307500839233398,?
-20.23983383178711,-6.2220001220703125,-10.220000267028809,?
-20.002416610717773,-6.146999835968018,-10.220000267028809,?
